week,control,treatment,cum_lift_pp
1,0.0116,0.016533333333333334,0.49333333333333346
2,0.022533333333333332,0.032933333333333335,1.0400000000000003
3,0.0336,0.046533333333333336,1.293333333333334
4,0.0444,0.06133333333333333,1.693333333333333
5,0.05386666666666667,0.0732,1.9333333333333333
6,0.06413333333333333,0.08493333333333333,2.08
7,0.07413333333333333,0.09866666666666667,2.4533333333333336
8,0.08546666666666666,0.10906666666666667,2.360000000000001
9,0.09506666666666666,0.12173333333333333,2.666666666666667
10,0.10533333333333333,0.13373333333333334,2.8400000000000007
11,0.1144,0.14426666666666665,2.9866666666666655
12,0.1276,0.15453333333333333,2.693333333333334
