week,control,treatment,control_rate,treatment_rate,incr_pp
1,87,124,0.0116,0.016533333333333334,0.49333333333333346
2,82,123,0.010933333333333333,0.0164,0.5466666666666669
3,83,102,0.011066666666666667,0.0136,0.2533333333333332
4,81,111,0.0108,0.0148,0.4
5,77,95,0.010266666666666667,0.012666666666666666,0.23999999999999994
6,87,94,0.0116,0.012533333333333334,0.09333333333333346
7,83,114,0.011066666666666667,0.0152,0.4133333333333333
8,88,82,0.011733333333333333,0.010933333333333333,-0.08000000000000004
9,87,114,0.0116,0.0152,0.3600000000000001
10,91,103,0.012133333333333333,0.013733333333333334,0.1600000000000001
11,73,91,0.009733333333333333,0.012133333333333333,0.23999999999999994
12,111,92,0.0148,0.012266666666666667,-0.25333333333333335
