date,holiday_name,is_holiday,is_school_break
2024-09-07,Independencia,1,0
2024-10-12,Nossa Senhora Aparecida,1,0
2024-11-02,Finados,1,0
2024-11-15,Proclamacao da Republica,1,0
2024-11-29,Black Friday,0,0
2024-12-25,Natal,1,1
2025-01-01,Confraternizacao Universal,1,1
2025-03-03,Carnaval,1,0
2025-03-04,Carnaval,1,0
2025-04-18,Sexta-feira Santa,1,0
2025-04-21,Tiradentes,1,0
2025-05-01,Dia do Trabalho,1,0
2025-06-19,Corpus Christi,1,0
2025-07-01,Recesso escolar julho,0,1
2025-09-07,Independencia,1,0
2025-10-12,Nossa Senhora Aparecida,1,0
2025-11-02,Finados,1,0
2025-11-15,Proclamacao da Republica,1,0
2025-11-28,Black Friday,0,0
2025-12-25,Natal,1,1
2026-01-01,Confraternizacao Universal,1,1
2026-02-16,Carnaval,1,0
2026-02-17,Carnaval,1,0
2026-04-03,Sexta-feira Santa,1,0
2026-04-21,Tiradentes,1,0
2026-05-01,Dia do Trabalho,1,0
2026-06-04,Corpus Christi,1,0
2026-07-01,Recesso escolar julho,0,1
2026-09-07,Independencia,1,0
