day,n_control,n_treatment,n_fallback,srm_p_cumulative,srm_p_trailing7,alert_state
2026-07-06,138,126,0,0.46018093544712024,0.46018093544712024,ok
2026-07-07,115,109,0,0.41517436954948916,0.41517436954948916,ok
2026-07-08,118,149,0,0.6361286806141107,0.6361286806141107,ok
2026-07-09,160,152,0,0.878343709392105,0.878343709392105,ok
2026-07-10,142,107,0,0.4082502284880444,0.4082502284880444,ok
2026-07-11,138,123,0,0.25714111834451614,0.25714111834451614,ok
2026-07-12,126,124,0,0.27151322605814626,0.27151322605814626,ok
2026-07-13,131,137,0,0.37038076155174593,0.497945756001128,ok
2026-07-14,137,126,0,0.2842337735072832,0.4317237371433651,ok
2026-07-15,142,148,0,0.37136448981076653,0.17508226492207551,ok
2026-07-16,87,173,198,0.45823340114267497,0.4146602550213523,ok
2026-07-17,112,152,141,0.15547914501976354,0.010670420255670866,ok
2026-07-18,109,154,123,0.03294254276652767,8.016657578540754e-05,alert
2026-07-19,147,155,118,0.029581043837997627,3.810838183138401e-05,alert
2026-07-20,139,144,72,0.029515128077571944,4.507666794473466e-05,alert
2026-07-21,156,147,29,0.0497634891259615,4.44257947406207e-05,alert
