date,holiday_name,is_holiday,is_school_break
2024-07-09,Revolucao Constitucionalista (SP),0,1
2024-09-07,Independencia,1,0
2024-10-12,Nossa Senhora Aparecida,1,0
2024-11-02,Finados,1,0
2024-11-15,Proclamacao da Republica,1,0
2024-11-20,Consciencia Negra,1,0
2024-11-29,Black Friday,0,0
2024-12-25,Natal,1,1
2025-01-01,Confraternizacao Universal,1,1
2025-03-03,Carnaval (segunda),0,0
2025-03-04,Carnaval,1,0
2025-03-05,Quarta-feira de Cinzas,0,0
2025-04-18,Sexta-feira Santa,1,0
2025-04-21,Tiradentes,1,0
2025-05-01,Dia do Trabalho,1,0
2025-06-19,Corpus Christi,1,0
2025-07-01,Ferias escolares julho,0,1
2025-07-31,Ferias escolares julho,0,1
2025-09-07,Independencia,1,0
2025-10-12,Nossa Senhora Aparecida,1,0
2025-11-02,Finados,1,0
2025-11-15,Proclamacao da Republica,1,0
2025-11-20,Consciencia Negra,1,0
2025-11-28,Black Friday,0,0
2025-12-25,Natal,1,1
2026-01-01,Confraternizacao Universal,1,1
2026-02-16,Carnaval (segunda),0,0
2026-02-17,Carnaval,1,0
2026-02-18,Quarta-feira de Cinzas,0,0
2026-04-03,Sexta-feira Santa,1,0
2026-04-21,Tiradentes,1,0
2026-05-01,Dia do Trabalho,1,0
2026-06-04,Corpus Christi,1,0
2026-07-01,Ferias escolares julho,0,1
2026-07-31,Ferias escolares julho,0,1
2026-09-07,Independencia,1,0
2026-10-12,Nossa Senhora Aparecida,1,0
2026-11-02,Finados,1,0
2026-11-15,Proclamacao da Republica,1,0
2026-11-20,Consciencia Negra,1,0
2026-11-27,Black Friday,0,0
2026-12-25,Natal,1,1
2027-01-01,Confraternizacao Universal,1,1
2027-02-08,Carnaval (segunda),0,0
2027-02-09,Carnaval,1,0
2027-03-26,Sexta-feira Santa,1,0
2027-04-21,Tiradentes,1,0
2027-05-01,Dia do Trabalho,1,0
2027-05-27,Corpus Christi,1,0
2027-09-07,Independencia,1,0
2027-10-12,Nossa Senhora Aparecida,1,0
2027-11-02,Finados,1,0
2027-11-15,Proclamacao da Republica,1,0
2027-11-20,Consciencia Negra,1,0
2027-12-25,Natal,1,1
