raw_value,canonical
paid_social,paid_social
paid social,paid_social
Paid Social,paid_social
paidsocial,paid_social
meta,paid_social
meta_ads,paid_social
facebook,paid_social
instagram,paid_social
tiktok,paid_social
tiktok_ads,paid_social
social_paid,paid_social
organic,organic
Organic,organic
organico,organic
orgânico,organic
direct,organic
direto,organic
none,organic
app_store_search,app_store_search
App Store Search,app_store_search
aso,app_store_search
ASO,app_store_search
store_search,app_store_search
app-store,app_store_search
play_store,app_store_search
referral,referral
Referral,referral
indicacao,referral
indicação,referral
mgm,referral
member_get_member,referral
convite,referral
influencer,influencer
Influencer,influencer
influenciador,influencer
affiliate,influencer
afiliado,influencer
creator,influencer
unknown,unknown
