raw_value,canonical
signup_started,signup_started
signup start,signup_started
SIGNUP_STARTED,signup_started
start,signup_started
cpf_entered,signup_started
personal_data,personal_data
PERSONAL_DATA,personal_data
personal-data,personal_data
dados_pessoais,personal_data
profile,personal_data
kyc_upload,kyc_upload
KYC_UPLOAD,kyc_upload
kyc-upload,kyc_upload
doc_upload,kyc_upload
document_upload,kyc_upload
upload_documento,kyc_upload
kyc,kyc_upload
account_created,account_created
ACCOUNT_CREATED,account_created
account-created,account_created
conta_criada,account_created
account_open,account_created
first_transaction,first_transaction
FIRST_TRANSACTION,first_transaction
first-transaction,first_transaction
primeira_transacao,first_transaction
first_txn,first_transaction
activation,first_transaction
limits_lifted,limits_lifted
LIMITS_LIFTED,limits_lifted
limits-lifted,limits_lifted
limites_liberados,limits_lifted
full_account,limits_lifted
