month_year,gross,disc,rate
2024-07,494242.66,29434.18,0.05955410647878919
2024-08,408781.42,11333.08,0.027724058495613622
2024-09,629678.1400000001,16736.620000000003,0.026579642736208057
2024-10,614178.3500000001,17398.19,0.02832758595284252
2024-11,1480279.57,127819.1,0.08634794574649166
2024-12,933330.58,71109.52,0.07618899618611019
2025-01,527130.22863837,14453.31798833,0.027418875266676246
2025-02,977653.1973432,25347.58201201,0.02592696682309511
2025-03,966973.77392314,49099.50934377,0.05077646433425678
2025-04,1054051.63536201,29553.13270447,0.028037651774355524
2025-05,1494306.85990798,40849.559262020004,0.027336794307787314
2025-06,1223021.14733093,31980.858828070002,0.026149064468642826
2025-07,1725551.14201424,111032.83278751001,0.06434630077547346
2025-08,1485142.5170840197,39198.05574352,0.026393464123889487
2025-09,1684253.64799638,45901.43956844,0.027253281964415052
2025-10,1937571.18843738,50395.01123345,0.026009372731276403
2025-11,3921386.79921899,378214.05562634,0.0964490561608632
2025-12,3290949.1757929297,223036.23902835,0.06777261729501219
2026-01,1367328.92277081,37244.34749337,0.027238762285446694
2026-02,1506139.81072538,40308.38426305,0.02676271085593101
2026-03,2036069.83520466,103856.06889016001,0.05100810743051978
2026-04,1889736.49962874,50401.82809218,0.026671352382769773
2026-05,2223918.09350029,59328.30205726001,0.026677377296697762
2026-06,2605280.91538861,69275.96308664,0.026590592468339107
