month_year,month,yoy_period,spend,new_customers,cac
2024-07,7,PY,48165.84,2652,18.1620814479638
2024-08,8,PY,57868.14,1747,33.12429307384087
2024-09,9,PY,83138.33,2397,34.684326241134755
2024-10,10,PY,72439.23,2300,31.495317391304347
2024-11,11,PY,106326.09999999999,5782,18.389156001383604
2024-12,12,PY,71931.74,3153,22.8137456390739
2025-01,1,PY,74820.08007328032,2034,36.78470013435611
2025-02,2,PY,116533.91564342857,2672,43.612992381522666
2025-03,3,PY,80261.4993727658,2567,31.266653436994858
2025-04,4,PY,116670.16270734734,2742,42.54929347459786
2025-05,5,PY,151245.8902172929,4768,31.721034022083245
2025-06,6,PY,122736.67609547333,3605,34.04623470054739
2025-07,7,CY,113588.96840859516,4684,24.250420240946873
2025-08,8,CY,138781.48734508097,3146,44.11363234109376
2025-09,9,CY,148577.163698252,3523,42.17347819990122
2025-10,10,CY,169491.25287318032,5028,33.709477500632524
2025-11,11,CY,198318.86270993468,11012,18.009340965304638
2025-12,12,CY,173068.10130985163,9531,18.15844101456842
2026-01,1,CY,107488.43561579645,3049,35.25366861784075
2026-02,2,CY,110408.46853527035,2921,37.798174780989505
2026-03,3,CY,104729.90460506387,3871,27.054999897975684
2026-04,4,CY,134988.929067822,3769,35.81558213526718
2026-05,5,CY,150622.24578970225,5871,25.655296506506943
2026-06,6,CY,168176.14419347933,7457,22.55278854679889
