cohort,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2024-07,1.0,0.1897,0.2138,0.1056,0.1195,0.0611,0.0226,0.0577,0.04,0.0343,0.0336,0.0192,0.0336,0.0222,0.0336,0.023,0.0328,0.017,0.0068,0.0098,0.0121,0.0113,0.009,0.0121
2024-08,1.0,0.2438,0.1076,0.1099,0.0624,0.0218,0.0618,0.0406,0.0418,0.0309,0.0189,0.0309,0.0218,0.0315,0.0263,0.0246,0.0183,0.0086,0.0126,0.0109,0.008,0.0046,0.0063,0.0
2024-09,1.0,0.1139,0.1427,0.0622,0.0238,0.0588,0.0459,0.043,0.0355,0.0154,0.035,0.02,0.0384,0.0221,0.0317,0.0192,0.0067,0.0146,0.0121,0.0075,0.0121,0.0058,0.0,0.0
2024-10,1.0,0.1622,0.0791,0.0209,0.0691,0.0409,0.0496,0.0357,0.0204,0.037,0.0296,0.0348,0.0339,0.0357,0.0222,0.0074,0.0122,0.0161,0.01,0.0122,0.0061,0.0,0.0,0.0
2024-11,1.0,0.0887,0.0339,0.0835,0.0633,0.0567,0.0443,0.0211,0.0462,0.0272,0.0431,0.0311,0.0462,0.0213,0.0069,0.0142,0.0138,0.0123,0.015,0.0105,0.0,0.0,0.0,0.0
2024-12,1.0,0.0346,0.0993,0.0584,0.0603,0.0469,0.0263,0.0482,0.0311,0.0536,0.0415,0.0476,0.0324,0.0117,0.0168,0.0228,0.0101,0.0146,0.0108,0.0,0.0,0.0,0.0,0.0
2025-01,1.0,0.2714,0.1917,0.1524,0.1106,0.0629,0.0787,0.0649,0.0801,0.0565,0.0826,0.0364,0.0197,0.0339,0.031,0.027,0.0236,0.0187,0.0,0.0,0.0,0.0,0.0,0.0
2025-02,1.0,0.174,0.1418,0.107,0.0614,0.0767,0.0569,0.0696,0.058,0.0797,0.0385,0.021,0.0281,0.0314,0.024,0.0198,0.0168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03,1.0,0.1722,0.1325,0.0713,0.0892,0.0728,0.0802,0.0604,0.09,0.0444,0.0226,0.03,0.0378,0.0288,0.0203,0.0187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04,1.0,0.1521,0.0839,0.101,0.0751,0.0835,0.0711,0.1094,0.0478,0.0317,0.0274,0.0325,0.0277,0.0222,0.0222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05,1.0,0.0954,0.1269,0.0881,0.0998,0.073,0.1137,0.0568,0.022,0.0312,0.0445,0.0369,0.0262,0.0327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06,1.0,0.1542,0.1049,0.1168,0.0921,0.1368,0.0635,0.0325,0.0402,0.0477,0.0366,0.0336,0.0311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07,1.0,0.2133,0.1813,0.1257,0.1642,0.0873,0.0444,0.0504,0.0587,0.054,0.0427,0.0357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08,1.0,0.2047,0.1453,0.186,0.1065,0.0435,0.0566,0.0648,0.0569,0.0534,0.0375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09,1.0,0.1587,0.1944,0.0974,0.0517,0.065,0.0735,0.0517,0.0426,0.0358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10,1.0,0.2331,0.1289,0.0579,0.0736,0.0782,0.063,0.0585,0.0475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11,1.0,0.1395,0.0621,0.0743,0.0804,0.0713,0.0548,0.0512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12,1.0,0.0782,0.0881,0.0988,0.0797,0.0664,0.0562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01,1.0,0.1,0.1207,0.1007,0.079,0.0741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02,1.0,0.1356,0.1017,0.087,0.0685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03,1.0,0.1253,0.0912,0.0736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04,1.0,0.1183,0.1003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05,1.0,0.117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
