ym,returning,new,returning_pct
2024-07,0.0,415991.23,0.0
2024-08,85032.4,273737.03,0.24
2024-09,174449.38,375224.03,0.32
2024-10,133336.54,400673.69,0.25
2024-11,234165.45,990343.77,0.19
2024-12,218545.49,552585.14,0.28
2025-01,92534.87,364329.54,0.2
2025-02,378456.13,484630.85,0.44
2025-03,371771.99,456794.71,0.45
2025-04,415721.11,503908.66,0.45
2025-05,403985.1,901157.79,0.31
2025-06,350417.67,722607.45,0.33
2025-07,523961.07,926083.65,0.36
2025-08,666590.12,627905.84,0.51
2025-09,778400.41,703676.05,0.53
2025-10,749747.69,946539.88,0.44
2025-11,1215612.39,1990140.4,0.38
2025-12,951903.95,1801752.77,0.35
2026-01,562318.39,642389.51,0.47
2026-02,747650.92,560574.86,0.57
2026-03,984577.11,751189.41,0.57
2026-04,916609.73,745056.07,0.55
2026-05,828050.89,1131704.18,0.42
2026-06,855947.39,1438294.41,0.37
