month_idx,active,vol,invol,start_active,gross_churn,vol_churn,invol_churn
12,16668,663.0,70.0,14701,0.04986,0.0451,0.00476
13,18664,677.0,84.0,16668,0.04566,0.04062,0.00504
14,20620,751.0,110.0,18664,0.04613,0.04024,0.00589
15,23696,902.0,104.0,20620,0.04879,0.04374,0.00504
16,26872,995.0,120.0,23696,0.04705,0.04199,0.00506
17,29313,1026.0,138.0,26872,0.04332,0.03818,0.00514
18,31776,1123.0,162.0,29313,0.04384,0.03831,0.00553
19,34478,1082.0,174.0,31776,0.03953,0.03405,0.00548
20,37107,1232.0,199.0,34478,0.0415,0.03573,0.00577
21,39513,1349.0,192.0,37107,0.04153,0.03635,0.00517
22,42152,1337.0,188.0,39513,0.03859,0.03384,0.00476
23,44698,1355.0,260.0,42152,0.03831,0.03215,0.00617
24,47178,1508.0,233.0,44698,0.03895,0.03374,0.00521
25,49700,1545.0,256.0,47178,0.03817,0.03275,0.00543
26,52033,1653.0,351.0,49700,0.04032,0.03326,0.00706
27,55444,1804.0,374.0,52033,0.04186,0.03467,0.00719
28,58429,1933.0,394.0,55444,0.04197,0.03486,0.00711
29,60479,2017.0,398.0,58429,0.04133,0.03452,0.00681
30,62492,2025.0,398.0,60479,0.04006,0.03348,0.00658
31,64376,2188.0,439.0,62492,0.04204,0.03501,0.00702
32,66059,2473.0,423.0,64376,0.04499,0.03841,0.00657
33,66131,4077.0,445.0,66059,0.06845,0.06172,0.00674
34,66576,3935.0,418.0,66131,0.06582,0.0595,0.00632
35,66781,4231.0,443.0,66576,0.07021,0.06355,0.00665
