market,month_idx,gross_churn
BR,20,0.03624
BR,21,0.03521
BR,22,0.03359
BR,23,0.03186
BR,24,0.034
BR,25,0.03072
BR,26,0.03302
BR,27,0.03408
BR,28,0.03359
BR,29,0.03259
BR,30,0.03141
BR,31,0.03586
BR,32,0.03996
BR,33,0.06992
BR,34,0.06791
BR,35,0.07298
MX,20,0.048
MX,21,0.04803
MX,22,0.04561
MX,23,0.0451
MX,24,0.04704
MX,25,0.04994
MX,26,0.0526
MX,27,0.05524
MX,28,0.05641
MX,29,0.05577
MX,30,0.05705
MX,31,0.05561
MX,32,0.05857
MX,33,0.08146
MX,34,0.0774
MX,35,0.08298
US,20,0.0588
US,21,0.06112
US,22,0.04725
US,23,0.05305
US,24,0.04248
US,25,0.04303
US,26,0.04282
US,27,0.04345
US,28,0.04298
US,29,0.04318
US,30,0.03716
US,31,0.03743
US,32,0.03707
US,33,0.04407
US,34,0.0429
US,35,0.04476
