device_class,month_idx,vsf_rate,pberr_rate
ctv,26,0.01098,0.00598
ctv,27,0.01101,0.00597
ctv,28,0.01107,0.00594
ctv,29,0.01099,0.00597
ctv,30,0.01084,0.006
ctv,31,0.0109,0.00591
ctv,32,0.03048,0.01433
ctv,33,0.0341,0.01576
ctv,34,0.03424,0.0155
ctv,35,0.03438,0.01571
mobile,26,0.011,0.00601
mobile,27,0.01102,0.00601
mobile,28,0.01111,0.00601
mobile,29,0.01098,0.00597
mobile,30,0.011,0.00604
mobile,31,0.01104,0.00596
mobile,32,0.01105,0.00604
mobile,33,0.01105,0.00608
mobile,34,0.01098,0.00603
mobile,35,0.01096,0.00593
web,26,0.01085,0.00599
web,27,0.01108,0.006
web,28,0.01085,0.00615
web,29,0.0109,0.0061
web,30,0.01096,0.00594
web,31,0.01104,0.00578
web,32,0.01108,0.00606
web,33,0.01103,0.00586
web,34,0.01101,0.00589
web,35,0.01116,0.00613
