market,coh,new_subs,lowq_share
BR,12,1583,0.3146
BR,13,1568,0.3029
BR,14,1541,0.3271
BR,15,2084,0.3335
BR,16,2105,0.3287
BR,17,1547,0.3355
BR,18,1520,0.3382
BR,19,1667,0.3473
BR,20,1647,0.3497
BR,21,1692,0.3191
BR,22,1777,0.3326
BR,23,1666,0.3421
BR,24,1629,0.3168
BR,25,1704,0.3445
BR,26,1735,0.3101
BR,27,2253,0.3196
BR,28,2177,0.3353
BR,29,1811,0.3512
BR,30,1622,0.3181
BR,31,1754,0.3398
BR,32,1789,0.3376
BR,33,1775,0.3358
BR,34,1912,0.3316
BR,35,1835,0.3313
MX,12,1088,0.4623
MX,13,1148,0.4538
MX,14,1219,0.4799
MX,15,1582,0.4722
MX,16,1482,0.4615
MX,17,1302,0.4923
MX,18,1331,0.4696
MX,19,1285,0.4786
MX,20,1337,0.4577
MX,21,1313,0.4539
MX,22,1343,0.4617
MX,23,1346,0.4562
MX,24,1479,0.453
MX,25,1427,0.4709
MX,26,1434,0.4693
MX,27,1896,0.4641
MX,28,1761,0.473
MX,29,1465,0.4696
MX,30,1579,0.4636
MX,31,1535,0.4606
MX,32,1549,0.4635
MX,33,1613,0.4563
MX,34,1552,0.4613
MX,35,1606,0.4614
US,15,365,0.3726
US,16,649,0.376
US,17,678,0.3717
US,18,838,0.3795
US,19,916,0.3755
US,20,990,0.399
US,21,838,0.3866
US,22,947,0.3559
US,23,1030,0.3573
US,24,1002,0.3473
US,25,1059,0.3702
US,26,1028,0.357
US,27,1282,0.3775
US,28,1180,0.3593
US,29,1023,0.392
US,30,1058,0.3837
US,31,1039,0.3532
US,32,1040,0.3856
US,33,998,0.3427
US,34,1096,0.3714
US,35,1168,0.3733
