date,market,name
2023-12-25,BR,Natal
2024-01-01,BR,Ano Novo
2024-02-13,BR,Carnaval
2024-03-29,BR,Sexta-feira Santa
2024-06-24,BR,Sao Joao
2024-09-07,BR,Independencia
2024-11-15,BR,Proclamacao da Republica
2024-12-25,BR,Natal
2025-01-01,BR,Ano Novo
2025-03-04,BR,Carnaval
2025-04-18,BR,Sexta-feira Santa
2025-06-24,BR,Sao Joao
2025-09-07,BR,Independencia
2025-12-25,BR,Natal
2026-01-01,BR,Ano Novo
2026-02-17,BR,Carnaval
2026-04-03,BR,Sexta-feira Santa
2026-06-24,BR,Sao Joao
2024-09-16,MX,Independencia
2024-11-02,MX,Dia de Muertos
2024-12-12,MX,Guadalupe
2024-12-25,MX,Navidad
2025-03-30,MX,Semana Santa
2025-09-16,MX,Independencia
2025-11-02,MX,Dia de Muertos
2025-12-25,MX,Navidad
2026-03-29,MX,Semana Santa
2026-05-01,MX,Dia del Trabajo
2024-12-25,US,Christmas
2025-01-01,US,New Year
2025-02-09,US,Super Bowl
2025-07-04,US,Independence Day
2025-11-27,US,Thanksgiving
2025-12-25,US,Christmas
2026-02-08,US,Super Bowl
2026-07-04,US,Independence Day
